Ad Performance Report (in UTC)
"Report Start: January 1, 2026, 12:00 AM"
"Report End: April 30, 2026, 11:59 PM"
"Date Generated: July 7, 2026, 7:44 PM"

Start Date (in UTC)	Account Name	Currency	Campaign ID	Campaign Name	Campaign Status	Campaign Start Date	Campaign End Date	Campaign Total Budget	Ad Set ID	Ad Set Name	Ad Set Objective	Ad Set Type	Ad Set Status	Cost Type	Ad Set Start Date	Ad Set End Date	Ad Name	Ad ID	Ad Status	Ad Introduction Text	Ad Headline	Ad Line	Click URL	Sponsored Update Type	DSC Name	Total Spent	Impressions	Clicks	Click Through Rate	Average CPM	Average CPC	Reactions	Comments	Shares	Follows	Other Clicks	Total Social Actions	Total Engagements	Engagement Rate	Viral Impressions	Viral Clicks	Viral Reactions	Viral Comments	Viral Shares	Viral Follows	Viral Other Clicks	Conversions	Post-Click Conversions	View-Through Conversions	Conversion Rate	Cost per Conversion	Total Conversion Value	Return on Ad Spend	Viral Conversions	Viral Post-Click Conversions	Viral View-Through Conversions	Leads	Lead Forms Opened	Lead Form Completion Rate	Cost per Lead	Appointments Booked	Event Registrations	Click Event Registrations	View Event Registrations	Viral Event Registrations	Viral Click Event Registrations	Viral View Event Registrations	Clicks to Landing Page	Clicks to LinkedIn Page	Leads (Work Email)	Lead Form Completion Rate (Work Email)	Cost Per Lead (Work Email)	Member Follows	Clicks to Member Profile	Qualified Leads	Cost Per Qualified Lead	Average Dwell Time (in Seconds)	Subscriptions	Viral Subscriptions
1/20/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	274.81	2058	59	2.867%	133.53	4.66	0	0	0	0	0	0	59	2.867%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	59	0	0	0%	0.00	0	0	0	0.00	14.310289823	0	0
1/21/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	261.56	1442	41	2.843%	181.39	6.38	0	0	0	0	0	0	41	2.843%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	41	0	0	0%	0.00	0	0	0	0.00	13.5653678571	0	0
1/22/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	249.85	2010	48	2.388%	124.30	5.21	0	0	0	0	0	0	48	2.388%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	48	0	0	0%	0.00	0	0	0	0.00	16.5881678322	0	0
1/23/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	235.00	2050	45	2.195%	114.63	5.22	0	0	0	0	0	0	45	2.195%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	45	0	0	0%	0.00	0	0	0	0.00	15.1080703125	0	0
1/24/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	195.12	1932	51	2.64%	100.99	3.83	0	0	0	0	0	0	51	2.64%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	51	0	0	0%	0.00	0	0	0	0.00	16.6775136719	0	0
1/25/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	150.92	1752	38	2.169%	86.14	3.97	0	0	0	0	0	0	38	2.169%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	38	0	0	0%	0.00	0	0	0	0.00	16.5060113122	0	0
1/26/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	199.69	2151	43	1.999%	92.83	4.64	0	0	0	0	0	0	43	1.999%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	43	0	0	0%	0.00	0	0	0	0.00	16.5568424015	0	0
1/27/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	215.64	1324	36	2.719%	162.87	5.99	0	0	0	0	0	0	36	2.719%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	36	0	0	0%	0.00	0	0	0	0.00	15.64615625	0	0
1/28/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	243.09	1358	37	2.725%	179.01	6.57	0	0	0	0	0	0	37	2.725%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	37	0	0	0%	0.00	0	0	0	0.00	15.2002425373	0	0
1/29/2026	Optura.AI	USD	805322383	us_web_li_ua_q1-2026_20260110_opturaJPM_conversion	Paused	1/10/2026	1/31/2026	"9,220.00"	463699653	Website conversions - JPM 2026	Website conversions	Sponsored Update	Completed	CPM	1/10/2026	1/31/2026	Ad_4_Identify_Metrics	1102411553	Active	"Optura helps healthcare leaders turn AI investment into measurable, trusted results."	 “We think it's valuable” isn’t a metric. 		https://optura.ai/?utm_source=linkedin&utm_medium=paidsocial&utm_campaign=evergreen-ads&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1440512653&hsa_net=linkedin&hsa_ver=3	DSC	Ad_4_Identify_Metrics	211.02	1446	31	2.144%	145.94	6.81	0	0	0	0	0	0	31	2.144%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	0	0	0	0	0	0	31	0	0	0%	0.00	0	0	0	0.00	14.4368498403	0	0
