Ad Performance Report (in UTC)
"Report Start: June 1, 2026, 12:00 AM"
"Report End: July 7, 2026, 11:59 PM"
"Date Generated: July 7, 2026, 7:43 PM"

Start Date (in UTC)	Account Name	Currency	Campaign ID	Campaign Name	Campaign Status	Campaign Start Date	Ad Set ID	Ad Set Name	Ad Set Objective	Ad Set Type	Ad Set Status	Cost Type	Total Budget	Ad Set Start Date	Ad Set End Date	Ad Name	Ad ID	Ad Status	Ad Introduction Text	Ad Headline	Ad Line	Click URL	Sponsored Update Type	DSC Name	Total Spent	Impressions	Clicks	Click Through Rate	Average CPM	Average CPC	Reactions	Comments	Shares	Follows	Other Clicks	Total Social Actions	Total Engagements	Engagement Rate	Viral Impressions	Viral Clicks	Viral Reactions	Viral Comments	Viral Shares	Viral Follows	Viral Other Clicks	Conversions	Post-Click Conversions	View-Through Conversions	Conversion Rate	Cost per Conversion	Total Conversion Value	Return on Ad Spend	Viral Conversions	Viral Post-Click Conversions	Viral View-Through Conversions	Leads	Lead Forms Opened	Lead Form Completion Rate	Cost per Lead	Appointments Booked	Reach	Average Frequency	"Cost per 1,000 People Reached"	Event Registrations	Click Event Registrations	View Event Registrations	Viral Event Registrations	Viral Click Event Registrations	Viral View Event Registrations	Clicks to Landing Page	Clicks to LinkedIn Page	Download Clicks	Viral Download Clicks	Document Displays at 25%	Viral Document Displays at 25%	Document Displays at 50%	Viral Document Displays at 50%	Document Displays at 75%	Viral Document Displays at 75%	Document Displays at 100%	Viral Document Displays at 100%	Preview Download Clicks	Viral Preview Download Clicks	Leads (Work Email)	Lead Form Completion Rate (Work Email)	Cost Per Lead (Work Email)	Member Follows	Clicks to Member Profile	Qualified Leads	Cost Per Qualified Lead	Average Dwell Time (in Seconds)	Subscriptions	Viral Subscriptions
6/26/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	5.90	10	0	0%	589.52	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	9	1.111	655.02	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	9.7304	0	0
6/27/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	7.84	12	0	0%	653.58	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	12	1	653.58	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	7.3370833333	0	0
6/28/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	4.73	2	0	0%	"2,364.22"	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0				0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	1.3825	0	0
6/29/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	10.06	9	0	0%	"1,117.34"	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	9	1	"1,117.34"	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	5.2567777778	0	0
6/30/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	776100493	Blues Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436027693	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=blues-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=776100493&hsa_ad=1436027693&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	14.28	10	0	0%	"1,428.43"	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	9	1.111	"1,587.15"	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	4.5782	0	0
6/16/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	857030096	Broad ICP Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436037673	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=icp-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=857030096&hsa_ad=1436037673&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	3.47	7	0	0%	495.40	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	6	1.167	577.97	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	22.9385714286	0	0
6/17/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	857030096	Broad ICP Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436037673	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=icp-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=857030096&hsa_ad=1436037673&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	11.45	21	1	4.762%	545.18	11.45	0	0	0	0	0	0	1	4.762%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	21	1	545.18	0	0	0	0	0	0	1	0													0	0%	0.00	0	0	0	0.00	7.5987619048	0	0
6/18/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	857030096	Broad ICP Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436037673	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=icp-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=857030096&hsa_ad=1436037673&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	12.31	20	0	0%	615.31	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	19	1.053	647.69	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	6.29545	0	0
6/19/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	857030096	Broad ICP Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436037673	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=icp-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=857030096&hsa_ad=1436037673&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	9.37	42	0	0%	223.20	0.00	0	0	0	0	1	1	1	2.381%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	39	1.077	240.37	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	4.9981428571	0	0
6/20/2026	Optura.AI	USD	1141803823	Evergreen Website Traffic	Paused	6/12/2026	857030096	Broad ICP Audience - Blogs and General Traffic Ads	Website visits	Sponsored Update	Active	CPM	400.00	6/16/2026	7/14/2026	Read the full breakdown of our Fable 5 experiments	1436037673	Active	Two of three workloads earned the Fable 5 premium. One burned $55 on cache reads instead of reasoning. Our engineers ran the math so you don't have to. 	Read the full breakdown of our Fable 5 experiments 		https://optura.ai/resource/when-fable-5s-premium-pays-off-and-when-it-doesnt/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=fableblog-2026&utm_content=icp-audience&utm_id=1141803823&hsa_acc=517584370&hsa_cam=1141803823&hsa_grp=857030096&hsa_ad=1436037673&hsa_net=linkedin&hsa_ver=3	DSC	Read the full breakdown of our Fable 5 experiments	6.88	17	0	0%	404.88	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0	17	1	404.88	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	2.8357058824	0	0
