Ad Performance Report (in UTC)
"Report Start: May 1, 2026, 12:00 AM"
"Report End: July 7, 2026, 11:59 PM"
"Date Generated: July 7, 2026, 7:45 PM"

Start Date (in UTC)	Account Name	Currency	Campaign ID	Campaign Name	Campaign Status	Campaign Start Date	Campaign End Date	Campaign Total Budget	Ad Set ID	Ad Set Name	Ad Set Objective	Ad Set Type	Ad Set Status	Cost Type	Total Budget	Ad Set Start Date	Ad Set End Date	Ad Name	Ad ID	Ad Status	Ad Introduction Text	Ad Headline	Ad Line	Click URL	Sponsored Update Type	DSC Name	Video Length (in Seconds)	Total Spent	Impressions	Clicks	Click Through Rate	Average CPM	Average CPC	Reactions	Comments	Shares	Follows	Other Clicks	Total Social Actions	Total Engagements	Engagement Rate	Viral Impressions	Viral Clicks	Viral Reactions	Viral Comments	Viral Shares	Viral Follows	Viral Other Clicks	Conversions	Post-Click Conversions	View-Through Conversions	Conversion Rate	Cost per Conversion	Total Conversion Value	Return on Ad Spend	Viral Conversions	Viral Post-Click Conversions	Viral View-Through Conversions	Leads	Lead Forms Opened	Lead Form Completion Rate	Cost per Lead	Appointments Booked	Video Plays	Video Views	Video View Rate	Video Views at 25%	Video Views at 50%	Video Views at 75%	Video Completions	Video Completion Rate	Total Video Watch Time (in Seconds)	Average Video Watch Time (in Seconds)	Full Screen Plays	eCPV	Viral Video Plays	Viral Video Views	Viral Video Views at 25%	Viral Video Views at 50%	Viral Video Views at 75%	Viral Video Completions	Viral Video Completion Rate	Viral Video Full Screen Plays	Reach	Average Frequency	"Cost per 1,000 People Reached"	Event Registrations	Click Event Registrations	View Event Registrations	Viral Event Registrations	Viral Click Event Registrations	Viral View Event Registrations	Clicks to Landing Page	Clicks to LinkedIn Page	Download Clicks	Viral Download Clicks	Document Displays at 25%	Viral Document Displays at 25%	Document Displays at 50%	Viral Document Displays at 50%	Document Displays at 75%	Viral Document Displays at 75%	Document Displays at 100%	Viral Document Displays at 100%	Preview Download Clicks	Viral Preview Download Clicks	Leads (Work Email)	Lead Form Completion Rate (Work Email)	Cost Per Lead (Work Email)	Member Follows	Clicks to Member Profile	Qualified Leads	Cost Per Qualified Lead	Average Dwell Time (in Seconds)	Subscriptions	Viral Subscriptions
5/1/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_2_Less_AI_ambition	1215610323	Active	Are you getting value from your AI investments? Optura’s customers have seen a 401% ROAI on the initiatives they’ve built and deployed.	Make AI Pay		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-2&hsa_acc=517584370&hsa_cam=976808803&hsa_grp=658610863&hsa_ad=1216810563&hsa_net=linkedin&hsa_ver=3	DSC	Ad_2_Less_AI_ambition		149.95	4164	4	0.096%	36.01	37.49	0	0	0	0	0	0	4	0.096%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					1907	2.184	78.63	0	0	0	0	0	0	4	0													0	0%	0.00	0	0	0	0.00	18.2271602094	0	0
5/2/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_2_Less_AI_ambition	1215610323	Active	Are you getting value from your AI investments? Optura’s customers have seen a 401% ROAI on the initiatives they’ve built and deployed.	Make AI Pay		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-2&hsa_acc=517584370&hsa_cam=976808803&hsa_grp=658610863&hsa_ad=1216810563&hsa_net=linkedin&hsa_ver=3	DSC	Ad_2_Less_AI_ambition		110.63	2686	2	0.074%	41.19	55.32	0	0	0	0	1	1	3	0.112%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					1454	1.847	76.09	0	0	0	0	0	0	2	0													0	0%	0.00	0	0	0	0.00	15.1806074919	0	0
5/3/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_2_Less_AI_ambition	1215610323	Active	Are you getting value from your AI investments? Optura’s customers have seen a 401% ROAI on the initiatives they’ve built and deployed.	Make AI Pay		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-2&hsa_acc=517584370&hsa_cam=976808803&hsa_grp=658610863&hsa_ad=1216810563&hsa_net=linkedin&hsa_ver=3	DSC	Ad_2_Less_AI_ambition		106.37	2766	5	0.181%	38.46	21.27	0	0	0	0	0	0	5	0.181%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					1309	2.113	81.26	0	0	0	0	0	0	5	0													0	0%	0.00	0	0	0	0.00	15.3215176651	0	0
5/4/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_2_Less_AI_ambition	1215610323	Active	Are you getting value from your AI investments? Optura’s customers have seen a 401% ROAI on the initiatives they’ve built and deployed.	Make AI Pay		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-2&hsa_acc=517584370&hsa_cam=976808803&hsa_grp=658610863&hsa_ad=1216810563&hsa_net=linkedin&hsa_ver=3	DSC	Ad_2_Less_AI_ambition		44.37	882	1	0.113%	50.30	44.37	0	0	0	0	0	0	1	0.113%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					494	1.785	89.81	0	0	0	0	0	0	1	0													0	0%	0.00	0	0	0	0.00	13.4631284404	0	0
5/5/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_2_Less_AI_ambition	1215610323	Active	Are you getting value from your AI investments? Optura’s customers have seen a 401% ROAI on the initiatives they’ve built and deployed.	Make AI Pay		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-2&hsa_acc=517584370&hsa_cam=976808803&hsa_grp=658610863&hsa_ad=1216810563&hsa_net=linkedin&hsa_ver=3	DSC	Ad_2_Less_AI_ambition		8.67	153	0	0%	56.67	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					114	1.342	76.05	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	11.0868846154	0	0
5/1/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_5_Demand_ROAI	1215709703	Active	"Optura has helped healthcare enterprises manage more than $2B in AI programs, generating a 401% ROAI on their initiatives."	Understand the value of your existing AI investments. 		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-5&hsa_acc=517584370&hsa_cam=988714813&hsa_grp=677315033&hsa_ad=1259612993&hsa_net=linkedin&hsa_ver=3	DSC	Ad_5_Demand_ROAI		4.50	107	0	0%	42.03	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					82	1.305	54.84	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	13.909862069	0	0
5/2/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_5_Demand_ROAI	1215709703	Active	"Optura has helped healthcare enterprises manage more than $2B in AI programs, generating a 401% ROAI on their initiatives."	Understand the value of your existing AI investments. 		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-5&hsa_acc=517584370&hsa_cam=988714813&hsa_grp=677315033&hsa_ad=1259612993&hsa_net=linkedin&hsa_ver=3	DSC	Ad_5_Demand_ROAI		3.01	70	0	0%	42.95	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					54	1.296	55.68	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	13.5005238095	0	0
5/3/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_5_Demand_ROAI	1215709703	Active	"Optura has helped healthcare enterprises manage more than $2B in AI programs, generating a 401% ROAI on their initiatives."	Understand the value of your existing AI investments. 		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-5&hsa_acc=517584370&hsa_cam=988714813&hsa_grp=677315033&hsa_ad=1259612993&hsa_net=linkedin&hsa_ver=3	DSC	Ad_5_Demand_ROAI		4.88	85	0	0%	57.42	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					72	1.181	67.79	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	15.8242903226	0	0
5/4/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_5_Demand_ROAI	1215709703	Active	"Optura has helped healthcare enterprises manage more than $2B in AI programs, generating a 401% ROAI on their initiatives."	Understand the value of your existing AI investments. 		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-5&hsa_acc=517584370&hsa_cam=988714813&hsa_grp=677315033&hsa_ad=1259612993&hsa_net=linkedin&hsa_ver=3	DSC	Ad_5_Demand_ROAI		3.82	41	0	0%	93.21	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					37	1.108	103.29	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	16.71936	0	0
5/5/2026	Optura.AI	USD	976808803	Optura - HES - Brand Awareness	Paused	4/15/2026	5/29/2026	"8,000.00"	658110963	Brand Awareness - HES - ICP Job Title and Company Targeting	Brand awareness	Sponsored Update	Completed	CPM		4/15/2026	5/29/2026	Ad_5_Demand_ROAI	1215709703	Active	"Optura has helped healthcare enterprises manage more than $2B in AI programs, generating a 401% ROAI on their initiatives."	Understand the value of your existing AI investments. 		https://optura.ai/request-a-demo/?utm_source=linkedin&utm_medium=paid-social&utm_campaign=hes2026-book-demo&utm_content=ad-5&hsa_acc=517584370&hsa_cam=988714813&hsa_grp=677315033&hsa_ad=1259612993&hsa_net=linkedin&hsa_ver=3	DSC	Ad_5_Demand_ROAI		2.04	42	0	0%	48.68	0.00	0	0	0	0	0	0	0	0%	0	0	0	0	0	0	0	0	0	0	0%	0.00	0	0.00	0	0	0	0	0	0%	0.00	0																					35	1.2	58.42	0	0	0	0	0	0	0	0													0	0%	0.00	0	0	0	0.00	10.7917058824	0	0
